2026-02-05 10:20:27 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:20:28 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 295476
2026-02-05 10:20:28 | DEBUG    | backpack_quant_trading.core.binance_monitor:91 | 币种列表已缓存，共 446 个 USDT 交易对
2026-02-05 10:21:02 | INFO     | __main__:1277 | 币种监视合并: 已有=[],[] + 本次选择=['0GUSDT', '1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'],['2小时'] => 合并后=['0GUSDT', '1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'],['2小时']
2026-02-05 10:21:02 | INFO     | backpack_quant_trading.core.binance_monitor:318 | 币种监视已启动: ['0GUSDT', '1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'], ['2小时']
2026-02-05 10:21:02 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:03 | INFO     | __main__:1290 | 币种监视已保存到 DB: user_id=1, symbols=['0GUSDT', '1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'], timeframes=['2小时']
2026-02-05 10:21:03 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=0GUSDT&interval=2h&limit=500 HTTP/1.1" 200 23194
2026-02-05 10:21:03 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:04 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ETHUSDT&interval=2h&limit=500 HTTP/1.1" 200 28793
2026-02-05 10:21:04 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:05 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=1000CHEEMSUSDT&interval=2h&limit=500 HTTP/1.1" 200 23227
2026-02-05 10:21:05 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:06 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ETHUSDT&interval=2h&limit=500 HTTP/1.1" 200 28789
2026-02-05 10:21:06 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:07 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=1000CATUSDT&interval=2h&limit=500 HTTP/1.1" 200 22012
2026-02-05 10:21:07 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:07 | INFO     | __main__:1277 | 币种监视合并: 已有=['1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'],['2小时'] + 本次选择=['1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'],['2小时'] => 合并后=['1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'],['2小时']
2026-02-05 10:21:08 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ETHUSDT&interval=2h&limit=500 HTTP/1.1" 200 28791
2026-02-05 10:21:08 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:09 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ADXUSDT&interval=2h&limit=500 HTTP/1.1" 200 20312
2026-02-05 10:21:09 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:09 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ETHUSDT&interval=2h&limit=500 HTTP/1.1" 200 28792
2026-02-05 10:21:09 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:10 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=AIUSDT&interval=2h&limit=500 HTTP/1.1" 200 21155
2026-02-05 10:21:10 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:11 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ETHUSDT&interval=2h&limit=500 HTTP/1.1" 200 28792
2026-02-05 10:21:11 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:12 | DEBUG    | urllib3.connectionpool:475 | https://api.binance.com:443 "GET /api/v3/klines?symbol=ALICEUSDT&interval=2h&limit=500 HTTP/1.1" 200 23270
2026-02-05 10:21:12 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
2026-02-05 10:21:12 | INFO     | backpack_quant_trading.core.binance_monitor:325 | 币种监视已停止
2026-02-05 10:21:12 | INFO     | backpack_quant_trading.core.binance_monitor:318 | 币种监视已启动: ['1000CHEEMSUSDT', '1000CATUSDT', 'ADXUSDT', 'AIUSDT', 'ALICEUSDT'], ['2小时']
2026-02-05 10:21:12 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.binance.com:443
